Date,Year and Quarter,GDP in Millions
1980-06-30,1980 Q2,238722.0
1963-01-31,,149096.66666666666
1986-02-28,,271778.6666666667
1981-08-31,,237988.0
1967-09-30,1967 Q3,176021.0
1998-05-31,,375626.3333333333
1956-06-30,1956 Q2,124751.0
1991-07-31,,312031.3333333333
2009-09-30,2009 Q3,458875.0
2005-10-31,,462573.6666666667
1997-11-30,,369541.3333333333
1991-06-30,1991 Q2,312235.0
2021-04-30,,521700.3333333333
2022-08-31,,567593.0
1988-10-31,,309922.6666666667
2007-08-31,,483467.3333333333
1959-11-30,,137945.33333333334
1995-09-30,1995 Q3,340542.0
1982-10-31,,243198.3333333333
1992-09-30,1992 Q3,312896.0
1974-02-28,,217170.0
1972-01-31,,203824.0
2025-05-31,,585045.6002168714
2025-02-28,,578366.3898436949
1979-11-30,,245028.3333333333
1957-03-31,1957 Q1,127685.0
2006-09-30,2006 Q3,470918.0
2017-09-30,2017 Q3,543452.0
1973-09-30,1973 Q3,222122.0
1960-10-31,,143952.33333333334
1971-07-31,,200598.66666666663
1992-01-31,,311972.0
2024-05-31,,572868.6666666666
2001-09-30,2001 Q3,417085.0
1970-01-31,,189542.0
2007-06-30,2007 Q2,481314.0
1967-03-31,1967 Q1,172902.0
1955-03-31,1955 Q1,121747.0
1982-07-31,,242276.3333333333
1980-10-31,,237576.66666666663
2004-11-30,,449699.6666666667
2021-11-30,,561590.0
1988-04-30,,304225.6666666667
1971-11-30,,203419.3333333333
1984-12-31,1984 Q4,261627.0
1975-01-31,,216330.66666666663
1983-01-31,,245888.66666666663
2021-06-30,2021 Q2,546579.0
1956-05-31,,124794.33333333331
1957-08-31,,127112.66666666669
2016-06-30,2016 Q2,526750.0
2015-05-31,,515867.3333333333
1985-07-31,,269770.3333333333
2018-03-31,2018 Q1,547688.0
2020-04-30,,508637.3333333333
2011-05-31,,474183.0
2008-03-31,2008 Q1,489783.0
1983-08-31,,252690.3333333333
2002-09-30,2002 Q3,424425.0
2000-02-29,,399613.6666666667
2003-07-31,,436128.0
2024-06-30,2024 Q2,573956.0
1957-01-31,,126114.33333333331
1960-07-31,,142268.0
1986-05-31,,274330.6666666667
2010-02-28,,463108.0
1960-02-29,,141408.0
2000-04-30,,402226.6666666667
2004-02-29,,443292.6666666667
2018-06-30,2018 Q2,548600.0
1996-07-31,,346057.3333333333
